President Joe Biden has won enough delegates to clinch the 2024 Democratic nomination,AP,"Tue, 12 Mar 2024 23:26:21",politics/biden-clinches-the-2024-democratic-nomination/14517096/,https://abc7news.com/2024-presidential-election-nominees-president-joe-biden-donald-trump/14517096/
'Bachelor' podcast: Joey down to the final three -- who does he love?,WABC,"Tue, 12 Mar 2024 22:58:34",entertainment/bachelor-podcast-joey-down-to-final-three----who-does-he-love/14517412/,https://abc7news.com/videoClip/bachelor-podcast-fantasy-suites-joey-graziadei-abc/14517412/
IRS Direct File program for free online tax filing now available in 12 states,ABCNews,"Tue, 12 Mar 2024 22:34:50",finance/irs-launches-free-online-tax-filing-program-in-12-states/14516777/,https://abc7news.com/irs-direct-file-states-free-ways-to-taxes-what-is-website/14516777/
"100-year-old giant snapping turtle named 'Thanos' missing, possibly stolen",Cindy Bae,"Tue, 12 Mar 2024 22:23:08",pets-animals/100-year-old-giant-snapping-turtle-thanos-missing-possibly-stolen/14517877/,https://abc11.com/snapping-turtle-missing-thanos-durham-reptile-expo/14517877/
"San Jose man convicted in 2022 shooting of unarmed Airbnb guest on the street, DA says",ABC7 Bay Area Digital Staff,"Tue, 12 Mar 2024 22:23:06",bay-area-man-convicted-in-2022-shooting-of-unarmed-airbnb-guest-da/14517558/,https://abc7news.com/san-jose-shooting-unarmed-black-man-shot-renting-airbnb-mark-henry-waters-convicted/14517558/
"Missing CA hiker feared dead after being swept away in SoCal river, officials say",KABC,"Tue, 12 Mar 2024 22:13:17",missing-ca-hiker-feared-dead-after-being-swept-away-in-river/14517808/,https://abc7news.com/missing-woman-angeles-national-forest-search-san-gabriel-river/14517808/
"Robert F. Kennedy Jr. considering Jets' Aaron Rodgers, Jesse Ventura for running mate: ABC News",ABCNews,"Tue, 12 Mar 2024 22:06:52",politics/rfk-jr-considering-jets-qb-aaron-rodgers-for-running-mate-abc-news/14517819/,https://abc7news.com/robert-f-kennedy-jr-aaron-rodgers-running-mate-jesse-ventura/14517819/
Neve Campbell returning as Sidney Prescott in 'Scream 7': 'I couldn't be more thrilled',CNNWire,"Tue, 12 Mar 2024 21:11:18",entertainment/neve-campbell-returning-as-sidney-prescott-in-scream-7/14517699/,https://abc7news.com/neve-campbell-returns-scream-7-sidney-prescott/14517699/
Trump promises to 'free' Jan. 6 rioters on first day back in White House if reelected,ABCNews,"Tue, 12 Mar 2024 20:48:14",politics/trump-promises-to-free-jan-6-rioters-on-first-day-in-white-house/14517653/,https://abc7news.com/donald-trump-jan-6-promises-to-free-rioters-attack-on-the-capitol/14517653/
What you need to know about driver data being shared with insurance companies,ABCNews,"Tue, 12 Mar 2024 20:24:04",society/is-your-car-spying-on-you-what-you-need-to-know/14516634/,https://abc7news.com/driver-data-onstar-smart-car-insurance-companies/14516634/
Indiana rescue team meets with crash victim who spent 6 days trapped in car,CCG,"Tue, 12 Mar 2024 20:17:57",localish/rescue-team-meets-with-crash-victim-who-spent-6-days-trapped-in-car/14517409/,https://abc7news.com/videoClip/matt-reum-update-portage-indiana-crash-i-94/14517409/
Supreme Court extends pause on Texas law that would allow state police to arrest migrants,AP,"Tue, 12 Mar 2024 20:12:25",politics/texas-law-that-would-allow-the-arrest-of-migrants-to-remain-on-hold/14517538/,https://abc7news.com/senate-bill-4-supreme-court-extends-pause-arrest-migrants-crossing-into-us-illegally/14517538/
A former Boeing manager who raised safety concerns is found dead. Coroner suspects he killed himself,AP,"Tue, 12 Mar 2024 19:38:15",travel/former-boeing-manager-who-raised-safety-concerns-is-found-dead/14516245/,https://abc7news.com/boeing-airlines-plane-investigation/14516245/
Takeaways from Robert Hur's testimony on Biden's mishandling of classified documents,CNNWire,"Tue, 12 Mar 2024 19:23:23",politics/takeaways-from-robert-hurs-testimony-on-biden-documents-probe/14516941/,https://abc7news.com/president-joe-biden-special-counsel-robert-hur-house-judiciary-panel-capitol-hill/14516941/
Scott Peterson murder case returns to court with LA Innocence Project focusing on DNA evidence,Gloria Rodríguez,"Tue, 12 Mar 2024 19:04:29",scott-peterson-case-returns-to-court;-new-defense-focusing-on-dna/14516642/,https://abc7news.com/scott-peterson-status-hearing-la-innocence-project-laci-murder/14516642/
FX's Shogun honors ancient samurai traditions,CCG,"Tue, 12 Mar 2024 18:30:39",localish/fxs-shogun-honors-ancient-samurai-traditions/14517330/,https://abc7news.com/videoClip/shogun-samurai-kiyomoto-ogasawara-hiroyuki-sanada/14517330/
Police release surveillance video of missing Mizzou student last seen in Nashville,WLS,"Tue, 12 Mar 2024 18:08:45",police-release-surveillance-video-of-missing-mizzou-student/14517294/,https://abc7news.com/riley-strain-missing-mizzou-student-nashville-man/14517294/
Best ergonomic office chairs to add to your home office,KGO,"Tue, 12 Mar 2024 17:46:01",shopping/best-ergonomic-office-chairs-2024/14514010/,https://abc7news.com/best-ergonomic-office-chairs-shop/14514010/
"Animal rescue owners feel catfished, devastated after large neglect investigation in Hollister",Lauren Martinez,"Tue, 12 Mar 2024 17:26:17",pets-animals/pet-owners-devastated-after-large-neglect-investigation-in-hollister/14516034/,https://abc7news.com/hollister-animal-neglect-shelter-investigation-suspects-arrested-pet-a-palooza-rescue/14516034/
Listen to Taylor Swift's sneak peek of new acoustic music leading up to Disney+ 'Eras Tour' film,OTRC,"Tue, 12 Mar 2024 17:04:11",entertainment/taylor-swift-releases-sneak-peek-of-maroon-played-on-tour-listen/14515198/,https://abc7news.com/taylor-swift-the-eras-tour-new-acoustic-songs-disney-plus/14515198/
